2018-08-06,Admin Time - PP,45
2018-08-06,Admin Time - Research,30
2018-08-07,Admin Time,30
2018-08-07,Admin Time - Coffee,15
2018-08-07,Admin Time - PP,30
2018-08-07,Admin Time - Promote 1 on 1,15
2018-08-07,Admin Time - Q2 Briefing,30
2018-08-07,Queue Manager,120
2018-08-07,Team Time - All Hands Follow up meeting,30
2018-08-08,Admin Time - 1 on 1 w/ Cara,15
2018-08-08,Admin Time - Coffee,15
2018-08-08,Admin Time - PP,15
2018-08-08,Admin Time - Promote 1 on 1,30
2018-08-08,Admin Time - Research,60
2018-08-08,Admin Time - Time w/ Hoss,60
2018-08-09,Admin Time - Brewing Built,30
2018-08-09,Admin Time - Coffee,15
2018-08-09,Admin Time - PP,30
2018-08-09,Admin Time - Pulse Surveys,45
2018-08-10,Admin Time - 1 on 1 w/ Brian H,30
2018-08-10,Admin Time - 1 on 1 w/ Emily,15
2018-08-10,Admin Time - 1 on 1 w/ Paul,15
2018-08-10,CS Stand Up,30
2018-08-10,Queue Manager,120
