2018-07-08,Admin Time - Promote with Spoula,30
2018-07-09,1 : 1 with Caitlyn,15
2018-07-09,Admin Time,30
2018-07-09,Admin Time - Promote,420
2018-07-09,Team Time,15
2018-07-10,Admin Time,60
2018-07-10,Team Time,120
2018-07-11,Admin - Predictive meeting,60
2018-07-11,Admin - Promote,90
2018-07-11,Admin Time,75
2018-07-11,Admin Time - Alteryx Research,30
2018-07-11,CS Stand Up,15
2018-07-11,Customer Tech Exchange,60
2018-07-11,Team Time - PP,30
2018-07-12,Admin Time,165
2018-07-12,CS Weekly Team Call,45
2018-07-12,Team Time - PP,15
